sesion_sugerida,autores,anio,titulo,revista,nivel,dominio,metodos_ml,interpretacion,doi,url,citas_openalex,resumen_es,por_que_es,confianza
1,Galit Shmueli,2010,To Explain or to Predict?,Statistical Science,Methods,evaluación/validación,,explicar vs. predecir; sesgo-varianza y error de predicción,10.1214/10-sts330,https://doi.org/10.1214/10-sts330,2467,"Distingue el modelado explicativo (causal, basado en teoría) del predictivo, y muestra que difieren en diseño, selección de variables y validación (in-sample vs. out-of-sample), y en que un modelo 'incorrecto' puede predecir mejor por el intercambio sesgo-varianza. Efron (2020, Journal of the American Statistical Association, 'Prediction, Estimation, and Attribution') extiende el argumento: los algoritmos de predicción no están diseñados para la atribución (qué variables importan). Es el marco conceptual con el que el economista decide qué métrica y qué validación exigirle a un modelo.",Lectura de apertura de la sesión de evaluación: fija el vocabulario explicar/predecir/atribuir que organiza el curso.,alta
1,Sendhil Mullainathan; Jann Spiess,2017,Machine Learning: An Applied Econometric Approach,Journal of Economic Perspectives,Survey,guía para economistas,LASSO; random forest; boosting; ensambles,inestabilidad de la selección de variables; predicción vs. estimación de parámetros,10.1257/jep.31.2.87,https://doi.org/10.1257/jep.31.2.87,1962,"Presenta el ML supervisado a los economistas como un problema de predicción (y-hat) distinto de la estimación de parámetros (beta-hat), con la regularización y la validación cruzada como piezas centrales, e ilustra con precios de vivienda que modelos igualmente predictivos seleccionan variables distintas. Storm, Baylis & Heckelei (2020, European Review of Agricultural Economics) ofrecen la guía análoga para economía agrícola y aplicada. Es la lectura introductoria estándar para explicar por qué las importancias de un modelo predictivo no son coeficientes causales.",Lectura base de la sesión introductoria y del debate y-hat vs. beta-hat que enmarca la interpretación.,alta
1,Hal R. Varian,2014,Big Data: New Tricks for Econometrics,Journal of Economic Perspectives,Survey,guía para economistas,árboles de clasificación; random forest; boosting; LASSO; BART; Bayesian model averaging,variable importance; partial dependence; validación cruzada,10.1257/jep.28.2.3,https://doi.org/10.1257/jep.28.2.3,1587,"Primera guía en JEP sobre herramientas de ML para econometristas: árboles, random forests, boosting, LASSO y promediado bayesiano de modelos, con ejemplos (Titanic, hipotecas HMDA) y una defensa de la validación cruzada y de los gráficos de dependencia parcial como forma de resumir modelos flexibles. Es una lectura accesible que ya muestra importancias de variables y PDP en un contexto económico.",Lectura introductoria accesible; sus ejemplos con importancia de variables y PDP sirven como primer contacto en clase.,alta
1,Susan Athey; Guido W. Imbens,2019,Machine Learning Methods That Economists Should Know About,Annual Review of Economics,Survey,guía para economistas,LASSO; random forest; boosting; redes neuronales; causal forests; double/debiased ML; matrix completion,validación cruzada; efectos heterogéneos; predicción vs. inferencia causal,10.1146/annurev-economics-080217-053433,https://doi.org/10.1146/annurev-economics-080217-053433,1117,"Revisión sistemática de métodos de ML (regularización, árboles, boosting, redes, factorización) y de su adaptación a preguntas causales (efectos heterogéneos, causal forests, double ML), con énfasis en la validación cruzada y en qué cambia cuando el objetivo es inferencia. Athey (2019, capítulo 'The Impact of Machine Learning on Economics' en The Economics of Artificial Intelligence: An Agenda, University of Chicago Press, pp. 507-552) es la versión ensayística; Chernozhukov et al. (2018, The Econometrics Journal) desarrollan el double/debiased ML y Dell (2025, Journal of Economic Literature, 'Deep Learning for Economists') actualiza la guía para deep learning.",Lectura de referencia del curso para ubicar la interpretación y la evaluación dentro del mapa de métodos de ML en economía.,alta
1,Jon Kleinberg; Jens Ludwig; Sendhil Mullainathan; Ziad Obermeyer,2015,Prediction Policy Problems,American Economic Review (Papers and Proceedings),Top5-PP,guía para economistas,LASSO (regresión logística L1); predicción supervisada; regresión regularizada,error por colas/cuantiles; otro: partición entrenamiento/prueba; cirugías fútiles evitables y ahorros por percentil de riesgo predicho; predicción vs. causalidad en política pública; predicho vs observado,10.1257/aer.p20151023,https://doi.org/10.1257/aer.p20151023,592,Con una muestra del 20% de Medicare (98.090 reemplazos de cadera o rodilla en 2010) predicen la mortalidad en los 1–12 meses posteriores a la cirugía con LASSO sobre 3.305 variables construidas a partir de reclamaciones previas; ajustan en 65.395 observaciones y evalúan en las 32.695 restantes. Interpretan la mortalidad observada por percentiles de riesgo predicho (el 1% más riesgoso muere en 56% de los casos y concentra el 10% de las cirugías fútiles) y calculan cuántas cirugías se evitarían y cuánto se ahorraría al reasignar a los pacientes del decil más riesgoso.,Lectura corta para motivar por qué la evaluación fuera de muestra es el objetivo en muchos problemas de política.,alta
1,"Gentzkow, Shapiro & Taddy",2019,Measuring Group Differences in High-Dimensional Choices: Method and Application to Congressional Speech,Econometrica,Top5,economía política / texto,regresión multinomial penalizada L1 (LASSO) con aproximación Poisson; estimador leave-out,otro: el partidismo se define como la precisión esperada con que un observador predice el partido de un legislador a partir de una frase; otro: corrección del sesgo de muestra finita del estimador de máxima verosimilitud (leave-out y penalización); frases más partidistas por período,10.3982/ecta16566,https://doi.org/10.3982/ECTA16566,396,"Mide el partidismo del discurso del Congreso de EE. UU. (1873–2016) como la facilidad con que un observador neutral podría inferir el partido de un legislador a partir de una sola frase, es decir, una cantidad de precisión predictiva dentro de un modelo de elección multinomial de alta dimensión. Muestran que el estimador de máxima verosimilitud sobreestima gravemente esa predictibilidad por sesgo de muestra finita, lo corrigen con un estimador leave-out y con una penalización L1 tipo LASSO (aproximación Poisson), interpretan las frases más partidistas de cada época y documentan el salto de polarización desde los años noventa.",Ejemplo de la exactitud predictiva como cantidad de interés y de por qué la regularización importa para no confundir ruido con señal.,alta
1,"Salganik, Lundberg, Kindel, Ahearn, Al-Ghoneim, Almaatouq et al.",2020,Measuring the predictability of life outcomes with a scientific mass collaboration,Proceedings of the National Academy of Sciences,GeneralScience,política pública/desigualdad,"160 modelos de ML de equipos independientes (ridge, ensambles y otros) en el Fragile Families Challenge",R2 fuera de muestra; predictibilidad como cantidad de interés; otro: comparación con un modelo de referencia simple de pocas variables; error asociado a la familia predicha más que a la técnica,10.1073/pnas.1915006117,https://doi.org/10.1073/pnas.1915006117,334,"En el Fragile Families Challenge, 160 equipos usaron métodos de ML sobre datos longitudinales de 15 años para predecir seis resultados de vida (por ejemplo, promedio escolar, desalojo y dificultades materiales). El desempeño se midió con el R² en datos de retención (holdout): las mejores predicciones fueron poco precisas y apenas superaron un modelo de referencia simple con pocas variables, y el error de predicción resultó fuertemente asociado a la familia predicha y débilmente a la técnica usada, lo que sugiere límites prácticos a la predictibilidad de trayectorias de vida.",Es la demostración más contundente de la predictibilidad como cantidad de interés y de los límites de la predicción para política social.,alta
1,Cranmer & Desmarais,2017,What Can We Learn from Predictive Modeling?,Political Analysis,PoliSci,economía política/conflicto,modelos predictivos evaluados con validación cruzada k-fold (logit y alternativas),predictibilidad como cantidad de interés; AUC/ROC; otro: criterios de referencia (benchmarks) para juzgar modelos predictivos y aporte predictivo de las variables fuera de muestra,10.1017/pan.2017.3,https://doi.org/10.1017/pan.2017.3,102,"Argumentan que la modelación predictiva —especificar modelos que ajusten bien datos de prueba no usados en la estimación— complementa el análisis asociativo habitual (regresiones) en ciencia política, y proponen un conjunto sencillo de criterios de referencia para juzgar el desempeño predictivo. Ilustran el enfoque con una aplicación detallada a la predicción de conflictos interestatales, usando validación cruzada y curvas ROC/AUC para mostrar cómo el aporte predictivo fuera de muestra de las variables informa sobre la teoría.","Marco conceptual, con ejemplo aplicado, para justificar la predictibilidad fuera de muestra como cantidad de interés en un curso de ML aplicado.",media
1,Fudenberg & Liang,2019,Predicting and Understanding Initial Play,American Economic Review,Top5,teoría/comportamiento,árboles de decisión; bagging (bagged decision trees); redes neuronales (apéndice),accuracy fuera de muestra; completitud/evaluación de teorías; generación de hipótesis; otro: validación cruzada 10-fold; árbol híbrido que elige juego por juego entre dos modelos económicos,10.1257/aer.20180654,https://doi.org/10.1257/aer.20180654,64,"Predicen la acción inicial en juegos matriciales 3x3 usando datos de experimentos previos y de juegos generados algorítmicamente; entrenan árboles de decisión y bagged trees sobre características de los pagos y evalúan la exactitud con validación cruzada de 10 pliegues, reportando además la completitud (porcentaje de la mejora alcanzable sobre un benchmark ingenuo). Examinan los juegos donde el ML acierta y los modelos económicos (level-k, jerarquía cognitiva) fallan, lo que los lleva a añadir un parámetro de aversión al riesgo al modelo level-1; un modelo híbrido usa un árbol para decidir, juego por juego, cuál de dos modelos económicos usar.",Modelo de cómo usar la exactitud fuera de muestra del ML como vara para evaluar y mejorar teorías económicas.,alta
1,"Fudenberg, Kleinberg, Liang & Mullainathan",2022,Measuring the Completeness of Economic Models,Journal of Political Economy,Top5,teoría/comportamiento,tabla de búsqueda (lookup table) no paramétrica; bagged decision trees; random forest (referencia),completitud/evaluación de teorías; accuracy fuera de muestra; otro: error irreducible estimado con el mejor predictor de caja negra; validación cruzada 10-fold,10.1086/718371,https://doi.org/10.1086/718371,51,"Define la completitud de un modelo como la fracción de la variación predecible que captura, (E_naive − E_modelo)/(E_naive − E_irreducible), donde el error irreducible se estima con el mejor predictor de caja negra disponible. Lo aplica a tres problemas experimentales (equivalentes ciertos de loterías, juego inicial en juegos matriciales y generación humana de secuencias aleatorias): aproxima el error irreducible con una lookup table (y bagged trees como comparación) usando el error de predicción con validación cruzada de 10 pliegues, y lo contrasta con el error fuera de muestra de teorías prominentes como prospect theory o level-k.","Da una métrica para juzgar teorías con la predicción de ML como cota superior, no solo con tests de significancia.",alta
